,domain,sentence,aspects
0,restaurants,But the staff was so horrible to us .,"['the staff', 'us']"
1,restaurants,"To be completely fair  the only redeeming factor was the food  which was above average  but could ""nt"" make up for all the other deficiencies of Teodora .","['the only redeeming factor', 'the food', 'which', 'average', 'all the other deficiencies', 'Teodora']"
2,restaurants,"The food is uniformly exceptional  with a very capable kitchen which will proudly whip up whatever you feel like eating  whether it ""s"" on the menu or not .","['The food', 'a very capable kitchen', 'which', 'whatever', 'you', 'it', 'the menu']"
3,restaurants,"Not only was the food outstanding  but the little ` perks """" were great .","['the food', 'the little ` perks']"
4,restaurants,Our agreed favorite is the orrechiete with sausage and chicken -LRB- usually the waiters are kind enough to split the dish in half so you get to sample both meats -RRB- .,"['Our agreed favorite', 'the orrechiete', 'sausage', 'chicken', 'the waiters', 'the dish', 'half', 'you', 'both meats']"
5,restaurants,The Bagels have an outstanding taste with a terrific texture  both chewy yet not gummy .,"['The Bagels', 'an outstanding taste', 'a terrific texture', 'both chewy']"
6,restaurants,Nevertheless the food itself is pretty good .,"['the food', 'itself']"
7,restaurants,"i ""ve"" noticed megadeth  mr. scruff  st. germain  traditional vietnamese songs  black sabbath  jay-z  and daft punk all being played .","['i', 'megadeth', 'mr. scruff', 'st', '.', 'traditional vietnamese songs', 'black sabbath  jay-z  and daft punk', 'all']"
8,restaurants,They did not have mayonnaise  forgot our toast  left out ingredients -LRB- ie cheese in an omelet -RRB-  below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .,"['They', 'mayonnaise', 'our toast', 'ingredients', 'ie cheese', 'an omelet', 'hot temperatures', 'the bacon', 'it', 'the plate', 'you', 'it']"
9,restaurants,It took half an hour to get our check  which was perfect since we could sit  have drinks and talk !,"['It', 'half an hour', 'our check', 'which', 'we', 'drinks']"
10,restaurants,The design and atmosphere is just as good .,"['The design', 'atmosphere']"
11,restaurants,He has visited Thailand and is quite expert on the cuisine .,"['He', 'Thailand', 'quite expert', 'the cuisine']"
12,restaurants,The pizza is the best if you like thin crusted pizza .,"['The pizza', 'you', 'thin crusted pizza']"
13,restaurants,All the money went into the interior decoration  none of it went to the chefs .,"['All the money', 'the interior decoration', 'none', 'it', 'the chefs']"
14,restaurants,The seats are uncomfortable if you are sitting against the wall on wooden benches .,"['The seats', 'you', 'the wall', 'wooden benches']"
15,restaurants,I asked for seltzer with lime  no ice .,"['I', 'seltzer', 'lime  no ice']"
16,restaurants,"Do ""nt"" go alone -- even two people is ""nt"" enough for the whole experience  with pickles and a selection of meats and seafoods .","['even two people', 'the whole experience', 'pickles', 'a selection', 'meats', 'seafoods']"
17,restaurants,"My suggestion is to eat family style because you ""ll"" want to try the other dishes .","['My suggestion', 'family style', 'you', 'the other dishes']"
18,restaurants,Best of all is the warm vibe  the owner is super friendly and service is fast .,"['all', 'the warm vibe', 'the owner', 'service']"
19,restaurants,"Faan ""s"" got a great concept but a little rough on the delivery .","['Faan ""s', 'a great concept', 'the delivery']"
20,restaurants,"From the incredible food  to the warm atmosphere  to the friendly service  this downtown neighborhood spot does ""nt"" miss a beat .","['the incredible food', 'the warm atmosphere', 'the friendly service', 'this downtown neighborhood spot', 'a beat']"
21,restaurants,"Great food at REASONABLE prices  makes for an evening that ca ""nt"" be beat !","['Great food', 'REASONABLE prices', 'an evening', 'that']"
22,restaurants,this little place has a cute interior decor and affordable city prices .,"['this little place', 'a cute interior decor and affordable city prices']"
23,restaurants,Two words : Free wine .,"['Two words', 'Free wine']"
24,restaurants,The price is reasonable although the service is poor .,"['The price', 'the service']"
25,restaurants,The quantity is also very good  you will come out satisfied .,"['The quantity', 'you']"
26,restaurants,I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers  we sat at the sushi bar to be closer to the action .,"['I', 'this second floor', 'I', 'two friends', 'town', 'L.A.', 'serious sushi lovers', 'we', 'the sushi bar', 'the action']"
27,restaurants,The fried rice is amazing here .,['The fried rice']
28,restaurants,Three courses - choices include excellent mussels  puff pastry goat cheese and salad with a delicious dressing  and a hanger steak au poivre that is out of this world .,"['Three courses - choices', 'excellent mussels  puff pastry goat cheese', 'a delicious dressing', 'a hanger steak', 'au poivre', 'that', 'this world']"
29,restaurants,"it ""s"" a perfect place to have a amanzing indian food .","['it', 'a perfect place', 'a amanzing indian food']"
30,restaurants,The place is so cool and the service is prompt and curtious .,"['The place', 'the service']"
31,restaurants,"At the end you ""re"" left with a mild broth with noodles that you can slurp out of a cup .","['the end', 'you', 'a mild broth', 'noodles', 'you', 'a cup']"
32,restaurants,I just wonder how you can have such a delicious meal for such little money .,"['I', 'you', 'such a delicious meal', 'such little money']"
33,restaurants,The wine list is excellent .,['The wine list']
34,restaurants,"Ive been to many Thai restaurants in Manhattan before  and Toons is by far the best Thai food Ive had -LRB- except for my mom ""s"" of course -RRB- .","['I', 'many Thai restaurants', 'Manhattan', 'Toons', 'the best Thai food', 'I', 'my mom', 'course', '-RRB-']"
35,restaurants,They wouldnt even let me finish my glass of wine before offering another .,"['They', 'me', 'my glass', 'wine', 'another']"
36,restaurants,Whem asked  we had to ask more detailed questions so that we knew what the specials were .,"['Whem', 'we', 'more detailed questions', 'we', 'what', 'the specials']"
37,restaurants,This is a consistently great place to dine for lunch or dinner .,"['This', 'a consistently great place', 'lunch', 'dinner']"
38,restaurants,Nice atmosphere  the service was very pleasant and the desert was good .,"['Nice atmosphere', 'the service', 'the desert']"
39,restaurants,After really enjoying ourselves at the bar we sat down at a table and had dinner .,"['ourselves', 'the bar', 'we', 'a table', 'dinner']"
40,restaurants,Fabulous service  fantastic food  and a chilled out atmosphere and environment .,"['Fabulous service  fantastic food', 'a chilled out atmosphere', 'environment']"
41,restaurants,Try the lasagnette appetizer .,['the lasagnette appetizer']
42,restaurants,I liked the beer selection !,"['I', 'the beer selection']"
43,restaurants,Great food  good size menu  great service and an unpretensious setting .,"['Great food  good size menu  great service', 'an unpretensious setting']"
44,restaurants,Go here for a romantic dinner but not for an all out wow dining experience .,"['a romantic dinner', 'an all out wow dining experience']"
45,restaurants,I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds .,"['I', 'Dosa', 'a place', 'NY', 'my taste buds']"
46,restaurants,Wine list selection is good and wine-by-the-glass was generously filled to the top .,"['Wine list selection', 'wine', 'the-glass', 'the top']"
47,restaurants,With the great variety on the menu  I eat here often and never get bored .,"['the great variety', 'the menu', 'I']"
48,restaurants,The menu is very limited - i think we counted 4 or 5 entrees .,"['The menu', 'i', 'we', '4 or 5 entrees']"
49,restaurants,The menu is limited but almost all of the dishes are excellent .,"['The menu', 'almost all', 'the dishes']"
50,restaurants,Not too crazy about their sake martini .,['their sake martini']
51,restaurants,Great bagels  spreads and a good place to hang out in .,"['Great bagels', 'a good place']"
52,restaurants,One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests .,"['One thing', 'I', 'this place', 'I', 'my table', 'ot incoming guests']"
53,restaurants,Unfortunately  the food is outstanding  but everything else about this restaurant is the pits .,"['the food', 'everything', 'this restaurant', 'the pits']"
54,restaurants,We always have a delicious meal and always leave feeling satisfied .,"['We', 'a delicious meal', 'feeling']"
55,restaurants,Dip the ingredients in with your chopsticks  swirl them around  and eat .,"['the ingredients', 'your chopsticks', 'them']"
56,restaurants,First went here to enjoy their garden terrace .,['their garden terrace']
57,restaurants,The pizza was pretty good and huge .,['The pizza']
58,restaurants,"The cuisine from what I ""ve"" gathered is authentic Taiwanese  though its very different from what I ""ve"" been accustomed to in Taipei .","['The cuisine', 'what', 'I', 'authentic Taiwanese', 'what', 'I', 'Taipei']"
