domain,sentence
restaurants,But the staff was so horrible to us .
restaurants,"To be completely fair  the only redeeming factor was the food  which was above average  but could ""nt"" make up for all the other deficiencies of Teodora ."
restaurants,"The food is uniformly exceptional  with a very capable kitchen which will proudly whip up whatever you feel like eating  whether it ""s"" on the menu or not ."
restaurants,"Not only was the food outstanding  but the little ` perks """" were great ."
restaurants,Our agreed favorite is the orrechiete with sausage and chicken -LRB- usually the waiters are kind enough to split the dish in half so you get to sample both meats -RRB- .
restaurants,The Bagels have an outstanding taste with a terrific texture  both chewy yet not gummy .
restaurants,Nevertheless the food itself is pretty good .
restaurants,"i ""ve"" noticed megadeth  mr. scruff  st. germain  traditional vietnamese songs  black sabbath  jay-z  and daft punk all being played ."
restaurants,They did not have mayonnaise  forgot our toast  left out ingredients -LRB- ie cheese in an omelet -RRB-  below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .
restaurants,It took half an hour to get our check  which was perfect since we could sit  have drinks and talk !
restaurants,The design and atmosphere is just as good .
restaurants,He has visited Thailand and is quite expert on the cuisine .
restaurants,The pizza is the best if you like thin crusted pizza .
restaurants,All the money went into the interior decoration  none of it went to the chefs .
restaurants,The seats are uncomfortable if you are sitting against the wall on wooden benches .
restaurants,I asked for seltzer with lime  no ice .
restaurants,"Do ""nt"" go alone -- even two people is ""nt"" enough for the whole experience  with pickles and a selection of meats and seafoods ."
restaurants,"My suggestion is to eat family style because you ""ll"" want to try the other dishes ."
restaurants,Best of all is the warm vibe  the owner is super friendly and service is fast .
restaurants,"Faan ""s"" got a great concept but a little rough on the delivery ."
restaurants,"From the incredible food  to the warm atmosphere  to the friendly service  this downtown neighborhood spot does ""nt"" miss a beat ."
restaurants,"Great food at REASONABLE prices  makes for an evening that ca ""nt"" be beat !"
restaurants,this little place has a cute interior decor and affordable city prices .
restaurants,Two words : Free wine .
restaurants,The price is reasonable although the service is poor .
restaurants,The quantity is also very good  you will come out satisfied .
restaurants,I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers  we sat at the sushi bar to be closer to the action .
restaurants,The fried rice is amazing here .
restaurants,Three courses - choices include excellent mussels  puff pastry goat cheese and salad with a delicious dressing  and a hanger steak au poivre that is out of this world .
restaurants,"it ""s"" a perfect place to have a amanzing indian food ."
restaurants,The place is so cool and the service is prompt and curtious .
restaurants,"At the end you ""re"" left with a mild broth with noodles that you can slurp out of a cup ."
restaurants,I just wonder how you can have such a delicious meal for such little money .
restaurants,The wine list is excellent .
restaurants,"Ive been to many Thai restaurants in Manhattan before  and Toons is by far the best Thai food Ive had -LRB- except for my mom ""s"" of course -RRB- ."
restaurants,They wouldnt even let me finish my glass of wine before offering another .
restaurants,Whem asked  we had to ask more detailed questions so that we knew what the specials were .
restaurants,This is a consistently great place to dine for lunch or dinner .
restaurants,Nice atmosphere  the service was very pleasant and the desert was good .
restaurants,After really enjoying ourselves at the bar we sat down at a table and had dinner .
restaurants,Fabulous service  fantastic food  and a chilled out atmosphere and environment .
restaurants,Try the lasagnette appetizer .
restaurants,I liked the beer selection !
restaurants,Great food  good size menu  great service and an unpretensious setting .
restaurants,Go here for a romantic dinner but not for an all out wow dining experience .
restaurants,I grew up eating Dosa and have yet to find a place in NY to satisfy my taste buds .
restaurants,Wine list selection is good and wine-by-the-glass was generously filled to the top .
restaurants,With the great variety on the menu  I eat here often and never get bored .
restaurants,The menu is very limited - i think we counted 4 or 5 entrees .
restaurants,The menu is limited but almost all of the dishes are excellent .
restaurants,Not too crazy about their sake martini .
restaurants,Great bagels  spreads and a good place to hang out in .
restaurants,One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests .
restaurants,Unfortunately  the food is outstanding  but everything else about this restaurant is the pits .
restaurants,We always have a delicious meal and always leave feeling satisfied .
restaurants,Dip the ingredients in with your chopsticks  swirl them around  and eat .
restaurants,First went here to enjoy their garden terrace .
restaurants,The pizza was pretty good and huge .
restaurants,"The cuisine from what I ""ve"" gathered is authentic Taiwanese  though its very different from what I ""ve"" been accustomed to in Taipei ."
restaurants,I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded .
restaurants,They are often crowded on the weekends but they are efficient and accurate with their service .
restaurants,All my co-workers were amazed at how small the dish was .
restaurants,The atmosphere is unheralded  the service impecible  and the food magnificant .
restaurants,We ordered the special  grilled branzino  that was so infused with bone  it was difficult to eat .
restaurants,The wait staff is friendly  and the food has gotten better and better !
restaurants,It may be a bit packed on weekends  but the vibe is good and it is the best French food you will find in the area .
restaurants,Right off the L in Brooklyn this is a nice cozy place with good pizza .
restaurants,Le Pere Pinard has a $ 15 pre-theater menu that is outstanding .
restaurants,I also ordered for delivery and the restaurant forgot half the order .
restaurants,Our server checked on us maybe twice during the entire meal .
restaurants,The strong scents coming from the left and right of me negatively affected my taste buds .
restaurants,We had the lobster sandwich and it was FANTASTIC .
restaurants,"Had we been stalling I could understand where they were coming from  but we had been there less than an hour and they had ""nt"" even brought us a check yet !"
restaurants,Though the Spider Roll may look like a challenge to eat  with soft shell crab hanging out of the roll  it is well worth the price you pay for them .
restaurants,Deep Fried Skewers are good and still rare to find in NYC .
restaurants,"I have tried to make reservations  but both times  the hostess did ""nt"" have my name ."
restaurants,I also recommend the rice dishes or the different varieties of congee -LRB- rice porridge -RRB- .
restaurants,Their tuna tartar appetizer is to die for .
restaurants,"An oasis of refinement : Food  though somewhat uneven  often reaches the pinnacles of new American fine cuisine - chef ""s"" passion -LRB- and kitchen ""s"" precise execution -RRB- is most evident in the fish dishes and soups ."
restaurants,"If you love wine and cheese and delicious french fare  you ""ll"" love Artisanal !"
restaurants,I love Indian food and consider myself to be quite an expert on it .
